Item Code,Item Description,Spec Book,Unit,Statewide 12-Mo Moving Avg ($),Statewide 3-Mo Moving Avg ($),Engineer Estimate Avg ($),Min Bid Price ($),Max Bid Price ($),Total Awarded Qty (12-Mo),Total Awarded Value ($),Category
"0104-6059","REMOVING CONC (TY 59)","2024/2014","EA",21.12,21.75,19.85,8.32,72.8,26760,565171.2,"100 Earthwork"
"0104-6060","REMOVING CONC (TY 60)","2024/2014","CY",22,23.32,20.68,8.48,74.75,28330,623260,"100 Earthwork"
"0105-6001","REMOVING STAB BASE & ASPH PAV (TY 1)","2024/2014","SY",11,10.34,10.34,4.2,28,500,5500,"100 Earthwork"
"0105-6002","REMOVING STAB BASE & ASPH PAV (TY 2)","2024/2014","SY",11.5,11.16,10.81,4.28,28.84,2070,23805,"100 Earthwork"
"0105-6003","REMOVING STAB BASE & ASPH PAV (TY 3)","2024/2014","SY",12,12,11.28,4.37,29.68,3640,43680,"100 Earthwork"
"0105-6004","REMOVING STAB BASE & ASPH PAV (TY 4)","2024/2014","SY",12.5,12.88,11.75,4.45,30.52,5210,65125,"100 Earthwork"
"0105-6005","REMOVING STAB BASE & ASPH PAV (TY 5)","2024/2014","SY",13,13.78,12.22,4.2,31.36,6780,88140,"100 Earthwork"
"0105-6006","REMOVING STAB BASE & ASPH PAV (TY 6)","2024/2014","SY",13.5,12.69,12.69,4.28,32.2,8350,112725,"100 Earthwork"
"0105-6007","REMOVING STAB BASE & ASPH PAV (TY 7)","2024/2014","SY",14,13.58,13.16,4.37,28,9920,138880,"100 Earthwork"
"0105-6008","REMOVING STAB BASE & ASPH PAV (TY 8)","2024/2014","SY",11,11,10.34,4.45,28.84,11490,126390,"100 Earthwork"
"0105-6009","REMOVING STAB BASE & ASPH PAV (TY 9)","2024/2014","SY",11.5,11.84,10.81,4.2,29.68,13060,150190,"100 Earthwork"
"0105-6010","REMOVING STAB BASE & ASPH PAV (TY 10)","2024/2014","SY",12,12.72,11.28,4.28,30.52,3830,45960,"100 Earthwork"
"0105-6011","REMOVING STAB BASE & ASPH PAV (TY 11)","2024/2014","SY",12.5,11.75,11.75,4.37,31.36,5400,67500,"100 Earthwork"
"0105-6012","REMOVING STAB BASE & ASPH PAV (TY 12)","2024/2014","SY",13,12.61,12.22,4.45,32.2,6970,90610,"100 Earthwork"
"0105-6013","REMOVING STAB BASE & ASPH PAV (TY 13)","2024/2014","SY",13.5,13.5,12.69,4.2,28,8540,115290,"100 Earthwork"
"0105-6014","REMOVING STAB BASE & ASPH PAV (TY 14)","2024/2014","SY",14,14.42,13.16,4.28,28.84,10110,141540,"100 Earthwork"
"0105-6015","REMOVING STAB BASE & ASPH PAV (TY 15)","2024/2014","SY",11,11.66,10.34,4.37,29.68,11680,128480,"100 Earthwork"
"0105-6016","REMOVING STAB BASE & ASPH PAV (TY 16)","2024/2014","SY",11.5,10.81,10.81,4.45,30.52,13250,152375,"100 Earthwork"
"0105-6017","REMOVING STAB BASE & ASPH PAV (TY 17)","2024/2014","SY",12,11.64,11.28,4.2,31.36,14820,177840,"100 Earthwork"
"0105-6018","REMOVING STAB BASE & ASPH PAV (TY 18)","2024/2014","SY",12.5,12.5,11.75,4.28,32.2,16390,204875,"100 Earthwork"
"0105-6019","REMOVING STAB BASE & ASPH PAV (TY 19)","2024/2014","SY",13,13.39,12.22,4.37,28,7160,93080,"100 Earthwork"
"0105-6020","REMOVING STAB BASE & ASPH PAV (TY 20)","2024/2014","SY",13.5,14.31,12.69,4.45,28.84,8730,117855,"100 Earthwork"
"0105-6021","REMOVING STAB BASE & ASPH PAV (TY 21)","2024/2014","SY",14,13.16,13.16,4.2,29.68,10300,144200,"100 Earthwork"
"0105-6022","REMOVING STAB BASE & ASPH PAV (TY 22)","2024/2014","SY",11,10.67,10.34,4.28,30.52,11870,130570,"100 Earthwork"
"0105-6023","REMOVING STAB BASE & ASPH PAV (TY 23)","2024/2014","SY",11.5,11.5,10.81,4.37,31.36,13440,154560,"100 Earthwork"
"0105-6024","REMOVING STAB BASE & ASPH PAV (TY 24)","2024/2014","SY",12,12.36,11.28,4.45,32.2,15010,180120,"100 Earthwork"
"0105-6025","REMOVING STAB BASE & ASPH PAV (TY 25)","2024/2014","SY",12.5,13.25,11.75,4.2,28,16580,207250,"100 Earthwork"
"0105-6026","REMOVING STAB BASE & ASPH PAV (TY 26)","2024/2014","SY",13,12.22,12.22,4.28,28.84,18150,235950,"100 Earthwork"
"0105-6027","REMOVING STAB BASE & ASPH PAV (TY 27)","2024/2014","SY",13.5,13.1,12.69,4.37,29.68,19720,266220,"100 Earthwork"
"0105-6028","REMOVING STAB BASE & ASPH PAV (TY 28)","2024/2014","SY",14,14,13.16,4.45,30.52,10490,146860,"100 Earthwork"
"0105-6029","REMOVING STAB BASE & ASPH PAV (TY 29)","2024/2014","SY",11,11.33,10.34,4.2,31.36,12060,132660,"100 Earthwork"
"0105-6030","REMOVING STAB BASE & ASPH PAV (TY 30)","2024/2014","SY",11.5,12.19,10.81,4.28,32.2,13630,156745,"100 Earthwork"
"0105-6031","REMOVING STAB BASE & ASPH PAV (TY 31)","2024/2014","SY",12,11.28,11.28,4.37,28,15200,182400,"100 Earthwork"
"0105-6032","REMOVING STAB BASE & ASPH PAV (TY 32)","2024/2014","SY",12.5,12.12,11.75,4.45,28.84,16770,209625,"100 Earthwork"
"0105-6033","REMOVING STAB BASE & ASPH PAV (TY 33)","2024/2014","SY",13,13,12.22,4.2,29.68,18340,238420,"100 Earthwork"
"0105-6034","REMOVING STAB BASE & ASPH PAV (TY 34)","2024/2014","SY",13.5,13.9,12.69,4.28,30.52,19910,268785,"100 Earthwork"
"0105-6035","REMOVING STAB BASE & ASPH PAV (TY 35)","2024/2014","SY",14,14.84,13.16,4.37,31.36,21480,300720,"100 Earthwork"
"0106-6001","OBLITERATING ABANDONED ROAD (TY 1)","2024/2014","STA",308,289.52,289.52,180,750,500,154000,"100 Earthwork"
"0106-6002","OBLITERATING ABANDONED ROAD (TY 2)","2024/2014","SY",322,312.34,302.68,183.6,772.5,2070,666540,"100 Earthwork"
"0106-6003","OBLITERATING ABANDONED ROAD (TY 3)","2024/2014","STA",336,336,315.84,187.2,795,3640,1223040,"100 Earthwork"
"0106-6004","OBLITERATING ABANDONED ROAD (TY 4)","2024/2014","SY",350,360.5,329,190.8,817.5,5210,1823500,"100 Earthwork"
"0106-6005","OBLITERATING ABANDONED ROAD (TY 5)","2024/2014","STA",364,385.84,342.16,180,840,6780,2467920,"100 Earthwork"
"0106-6006","OBLITERATING ABANDONED ROAD (TY 6)","2024/2014","SY",378,355.32,355.32,183.6,862.5,8350,3156300,"100 Earthwork"
"0106-6007","OBLITERATING ABANDONED ROAD (TY 7)","2024/2014","STA",392,380.24,368.48,187.2,750,9920,3888640,"100 Earthwork"
"0106-6008","OBLITERATING ABANDONED ROAD (TY 8)","2024/2014","SY",308,308,289.52,190.8,772.5,11490,3538920,"100 Earthwork"
"0106-6009","OBLITERATING ABANDONED ROAD (TY 9)","2024/2014","STA",322,331.66,302.68,180,795,13060,4205320,"100 Earthwork"
"0106-6010","OBLITERATING ABANDONED ROAD (TY 10)","2024/2014","SY",336,356.16,315.84,183.6,817.5,3830,1286880,"100 Earthwork"
"0106-6011","OBLITERATING ABANDONED ROAD (TY 11)","2024/2014","STA",350,329,329,187.2,840,5400,1890000,"100 Earthwork"
"0106-6012","OBLITERATING ABANDONED ROAD (TY 12)","2024/2014","SY",364,353.08,342.16,190.8,862.5,6970,2537080,"100 Earthwork"
"0106-6013","OBLITERATING ABANDONED ROAD (TY 13)","2024/2014","STA",378,378,355.32,180,750,8540,3228120,"100 Earthwork"
"0106-6014","OBLITERATING ABANDONED ROAD (TY 14)","2024/2014","SY",392,403.76,368.48,183.6,772.5,10110,3963120,"100 Earthwork"
"0106-6015","OBLITERATING ABANDONED ROAD (TY 15)","2024/2014","STA",308,326.48,289.52,187.2,795,11680,3597440,"100 Earthwork"
"0110-6001","EXCAVATION (TY 1)","2024/2014","CY",13.64,12.82,12.82,8.5,45,500,6820,"100 Earthwork"
"0110-6002","EXCAVATION (TY 2)","2024/2014","CY",14.26,13.83,13.4,8.67,46.35,2070,29518.2,"100 Earthwork"
"0110-6003","EXCAVATION (TY 3)","2024/2014","CY",14.88,14.88,13.99,8.84,47.7,3640,54163.2,"100 Earthwork"
"0110-6004","EXCAVATION (TY 4)","2024/2014","CY",15.5,15.96,14.57,9.01,49.05,5210,80755,"100 Earthwork"
"0110-6005","EXCAVATION (TY 5)","2024/2014","CY",16.12,17.09,15.15,8.5,50.4,6780,109293.6,"100 Earthwork"
"0110-6006","EXCAVATION (TY 6)","2024/2014","CY",16.74,15.74,15.74,8.67,51.75,8350,139779,"100 Earthwork"
"0110-6007","EXCAVATION (TY 7)","2024/2014","CY",17.36,16.84,16.32,8.84,45,9920,172211.2,"100 Earthwork"
"0110-6008","EXCAVATION (TY 8)","2024/2014","CY",13.64,13.64,12.82,9.01,46.35,11490,156723.6,"100 Earthwork"
"0110-6009","EXCAVATION (TY 9)","2024/2014","CY",14.26,14.69,13.4,8.5,47.7,13060,186235.6,"100 Earthwork"
"0110-6010","EXCAVATION (TY 10)","2024/2014","CY",14.88,15.77,13.99,8.67,49.05,3830,56990.4,"100 Earthwork"
"0110-6011","EXCAVATION (TY 11)","2024/2014","CY",15.5,14.57,14.57,8.84,50.4,5400,83700,"100 Earthwork"
"0110-6012","EXCAVATION (TY 12)","2024/2014","CY",16.12,15.64,15.15,9.01,51.75,6970,112356.4,"100 Earthwork"
"0110-6013","EXCAVATION (TY 13)","2024/2014","CY",16.74,16.74,15.74,8.5,45,8540,142959.6,"100 Earthwork"
"0110-6014","EXCAVATION (TY 14)","2024/2014","CY",17.36,17.88,16.32,8.67,46.35,10110,175509.6,"100 Earthwork"
"0110-6015","EXCAVATION (TY 15)","2024/2014","CY",13.64,14.46,12.82,8.84,47.7,11680,159315.2,"100 Earthwork"
"0110-6016","EXCAVATION (TY 16)","2024/2014","CY",14.26,13.4,13.4,9.01,49.05,13250,188945,"100 Earthwork"
"0110-6017","EXCAVATION (TY 17)","2024/2014","CY",14.88,14.43,13.99,8.5,50.4,14820,220521.6,"100 Earthwork"
"0110-6018","EXCAVATION (TY 18)","2024/2014","CY",15.5,15.5,14.57,8.67,51.75,16390,254045,"100 Earthwork"
"0110-6019","EXCAVATION (TY 19)","2024/2014","CY",16.12,16.6,15.15,8.84,45,7160,115419.2,"100 Earthwork"
"0110-6020","EXCAVATION (TY 20)","2024/2014","CY",16.74,17.74,15.74,9.01,46.35,8730,146140.2,"100 Earthwork"
"0110-6021","EXCAVATION (TY 21)","2024/2014","CY",17.36,16.32,16.32,8.5,47.7,10300,178808,"100 Earthwork"
"0110-6022","EXCAVATION (TY 22)","2024/2014","CY",13.64,13.23,12.82,8.67,49.05,11870,161906.8,"100 Earthwork"
"0110-6023","EXCAVATION (TY 23)","2024/2014","CY",14.26,14.26,13.4,8.84,50.4,13440,191654.4,"100 Earthwork"
"0110-6024","EXCAVATION (TY 24)","2024/2014","CY",14.88,15.33,13.99,9.01,51.75,15010,223348.8,"100 Earthwork"
"0110-6025","EXCAVATION (TY 25)","2024/2014","CY",15.5,16.43,14.57,8.5,45,16580,256990,"100 Earthwork"
"0110-6026","EXCAVATION (TY 26)","2024/2014","CY",16.12,15.15,15.15,8.67,46.35,18150,292578,"100 Earthwork"
"0110-6027","EXCAVATION (TY 27)","2024/2014","CY",16.74,16.24,15.74,8.84,47.7,19720,330112.8,"100 Earthwork"
"0110-6028","EXCAVATION (TY 28)","2024/2014","CY",17.36,17.36,16.32,9.01,49.05,10490,182106.4,"100 Earthwork"
"0110-6029","EXCAVATION (TY 29)","2024/2014","CY",13.64,14.05,12.82,8.5,50.4,12060,164498.4,"100 Earthwork"
"0110-6030","EXCAVATION (TY 30)","2024/2014","CY",14.26,15.12,13.4,8.67,51.75,13630,194363.8,"100 Earthwork"
"0110-6031","EXCAVATION (TY 31)","2024/2014","CY",14.88,13.99,13.99,8.84,45,15200,226176,"100 Earthwork"
"0110-6032","EXCAVATION (TY 32)","2024/2014","CY",15.5,15.04,14.57,9.01,46.35,16770,259935,"100 Earthwork"
"0110-6033","EXCAVATION (TY 33)","2024/2014","CY",16.12,16.12,15.15,8.5,47.7,18340,295640.8,"100 Earthwork"
"0110-6034","EXCAVATION (TY 34)","2024/2014","CY",16.74,17.24,15.74,8.67,49.05,19910,333293.4,"100 Earthwork"
"0110-6035","EXCAVATION (TY 35)","2024/2014","CY",17.36,18.4,16.32,8.84,50.4,21480,372892.8,"100 Earthwork"
"0110-6036","EXCAVATION (TY 36)","2024/2014","CY",13.64,12.82,12.82,9.01,51.75,23050,314402,"100 Earthwork"
"0110-6037","EXCAVATION (TY 37)","2024/2014","CY",14.26,13.83,13.4,8.5,45,13820,197073.2,"100 Earthwork"
"0110-6038","EXCAVATION (TY 38)","2024/2014","CY",14.88,14.88,13.99,8.67,46.35,15390,229003.2,"100 Earthwork"
"0110-6039","EXCAVATION (TY 39)","2024/2014","CY",15.5,15.96,14.57,8.84,47.7,16960,262880,"100 Earthwork"
"0110-6040","EXCAVATION (TY 40)","2024/2014","CY",16.12,17.09,15.15,9.01,49.05,18530,298703.6,"100 Earthwork"
"0110-6041","EXCAVATION (TY 41)","2024/2014","CY",16.74,15.74,15.74,8.5,50.4,20100,336474,"100 Earthwork"
"0110-6042","EXCAVATION (TY 42)","2024/2014","CY",17.36,16.84,16.32,8.67,51.75,21670,376191.2,"100 Earthwork"
"0110-6043","EXCAVATION (TY 43)","2024/2014","CY",13.64,13.64,12.82,8.84,45,23240,316993.6,"100 Earthwork"
"0110-6044","EXCAVATION (TY 44)","2024/2014","CY",14.26,14.69,13.4,9.01,46.35,24810,353790.6,"100 Earthwork"
"0110-6045","EXCAVATION (TY 45)","2024/2014","CY",14.88,15.77,13.99,8.5,47.7,26380,392534.4,"100 Earthwork"
"0112-6001","SUBGRADE WIDENING (TY 1)","2024/2014","STA",563.2,529.41,529.41,380,1100,500,281600,"100 Earthwork"
"0112-6002","SUBGRADE WIDENING (TY 2)","2024/2014","STA",588.8,571.14,553.47,387.6,1133,2070,1218816,"100 Earthwork"
"0112-6003","SUBGRADE WIDENING (TY 3)","2024/2014","STA",614.4,614.4,577.54,395.2,1166,3640,2236416,"100 Earthwork"
"0112-6004","SUBGRADE WIDENING (TY 4)","2024/2014","STA",640,659.2,601.6,402.8,1199,5210,3334400,"100 Earthwork"
"0112-6005","SUBGRADE WIDENING (TY 5)","2024/2014","STA",665.6,705.54,625.66,380,1232,6780,4512768,"100 Earthwork"
"0112-6006","SUBGRADE WIDENING (TY 6)","2024/2014","STA",691.2,649.73,649.73,387.6,1265,8350,5771520,"100 Earthwork"
"0112-6007","SUBGRADE WIDENING (TY 7)","2024/2014","STA",716.8,695.3,673.79,395.2,1100,9920,7110656,"100 Earthwork"
"0112-6008","SUBGRADE WIDENING (TY 8)","2024/2014","STA",563.2,563.2,529.41,402.8,1133,11490,6471168,"100 Earthwork"
